Dec 18 17:49:46 test kernel: [11521.655271] [TRACE_KVM] Buffer & to_replay created
Dec 18 17:49:46 test kernel: [11521.655305] [HAVFUZZ] Opened
Dec 18 17:50:31 test kernel: [11567.198686] [TRACE_KVM] The trarget vcpu is 3
Dec 18 17:50:32 test kernel: [11567.267522] [Trace KVM] Buffer reset
Dec 18 17:50:32 test kernel: [11567.267528] [TRACE_KVM] Buffer size changed
Dec 18 17:50:32 test kernel: [11567.267536] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 17:50:32 test kernel: [11567.267539] [TRACE_KVM] gran exit set to 0.
Dec 18 17:50:32 test kernel: [11567.267540] [TRACE_KVM] Control_execution set to 1.
Dec 18 17:50:32 test kernel: [11567.267542] [TRACE_KVM] tracing enabled
Dec 18 17:50:32 test kernel: [11567.274605] 0, L1: 1.
Dec 18 17:50:32 test kernel: [11567.280955] 1, L1: 1.
Dec 18 17:50:32 test kernel: [11567.284835] 2, L1: 1.
Dec 18 17:50:32 test kernel: [11567.286251] 3, L1: 1.
Dec 18 17:50:32 test kernel: [11567.319630] 4, L1: 1.
Dec 18 17:50:32 test kernel: [11567.323862] 5, L1: 1.
Dec 18 17:50:32 test kernel: [11567.325321] 6, L1: 1.
Dec 18 17:50:32 test kernel: [11567.326580] 7, L1: 1.
Dec 18 17:50:32 test kernel: [11567.327284] 8, L1: 1.
Dec 18 17:50:32 test kernel: [11567.328634] 9, L1: 1.
Dec 18 17:50:32 test kernel: [11567.329881] 10, L1: 1.
Dec 18 17:50:32 test kernel: [11567.330026] 11, L1: 1.
Dec 18 17:50:32 test kernel: [11567.331554] 12, L1: 1.
Dec 18 17:50:32 test kernel: [11567.374002] 13, L1: 1.
Dec 18 17:50:32 test kernel: [11567.415936] 14, L1: 1.
Dec 18 17:50:32 test kernel: [11567.435757] 15, L1: 1.
Dec 18 17:50:32 test kernel: [11567.464800] 16, L1: 1.
Dec 18 17:50:32 test kernel: [11567.500790] 17, L1: 1.
Dec 18 17:50:32 test kernel: [11567.500953] 18, L1: 1.
Dec 18 17:50:32 test kernel: [11567.503668] 19, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533209] 20, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533750] 21, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533783] 22, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533813] 23, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533840] 24, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533866] 25, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533954] 26, L1: 1.
Dec 18 17:50:32 test kernel: [11567.533981] 27, L1: 1.
Dec 18 17:50:32 test kernel: [11567.541502] 28, L1: 1.
Dec 18 17:50:32 test kernel: [11567.541535] 29, L1: 1.
Dec 18 17:50:32 test kernel: [11567.541562] 30, L1: 1.
Dec 18 17:50:32 test kernel: [11567.542189] 31, L1: 1.
Dec 18 17:50:32 test kernel: [11567.542277] 32, L1: 1.
Dec 18 17:50:32 test kernel: [11567.560246] 33, L1: 1.
Dec 18 17:50:32 test kernel: [11567.560967] 34, L1: 1.
Dec 18 17:50:32 test kernel: [11567.563442] 35, L1: 1.
Dec 18 17:50:32 test kernel: [11567.565040] 36, L1: 1.
Dec 18 17:50:32 test kernel: [11567.580622] 37, L1: 1.
Dec 18 17:50:32 test kernel: [11567.598817] 38, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601322] 39, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601355] 40, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601381] 41, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601405] 42, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601429] 43, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601456] 44, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601482] 45, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601873] 46, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601905] 47, L1: 1.
Dec 18 17:50:32 test kernel: [11567.601931] 48, L1: 1.
Dec 18 17:50:32 test kernel: [11567.602080] 49, L1: 1.
Dec 18 17:50:32 test kernel: [11567.602107] 50, L1: 1.
Dec 18 17:50:32 test kernel: [11567.602132] 51, L1: 1.
Dec 18 17:50:32 test kernel: [11567.602314] 52, L1: 1.
Dec 18 17:50:32 test kernel: [11567.604808] 53, L1: 1.
Dec 18 17:50:32 test kernel: [11567.683993] 54, L1: 1.
Dec 18 17:50:32 test kernel: [11567.712964] 55, L1: 1.
Dec 18 17:50:32 test kernel: [11567.777958] 56, L1: 1.
Dec 18 17:50:32 test kernel: [11567.777994] 57, L1: 1.
Dec 18 17:50:32 test kernel: [11567.778023] 58, L1: 1.
Dec 18 17:50:32 test kernel: [11567.778048] 59, L1: 1.
Dec 18 17:50:32 test kernel: [11567.778072] 60, L1: 1.
Dec 18 17:50:32 test kernel: [11567.778098] 61, L1: 1.
Dec 18 17:50:32 test kernel: [11567.778122] 62, L1: 1.
Dec 18 17:50:32 test kernel: [11567.779179] 63, L1: 1.
Dec 18 17:50:32 test kernel: [11567.779209] 64, L1: 1.
Dec 18 17:50:32 test kernel: [11567.779235] 65, L1: 1.
Dec 18 17:50:32 test kernel: [11567.783188] 66, L1: 1.
Dec 18 17:50:32 test kernel: [11567.788475] 67, L1: 1.
Dec 18 17:50:32 test kernel: [11567.789223] 68, L1: 1.
Dec 18 17:50:32 test kernel: [11567.805048] 69, L1: 1.
Dec 18 17:50:32 test kernel: [11567.934613] 70, L1: 1.
Dec 18 17:50:32 test kernel: [11567.946628] 71, L1: 1.
Dec 18 17:50:32 test kernel: [11567.946766] 72, L1: 1.
Dec 18 17:50:32 test kernel: [11567.960734] 73, L1: 1.
Dec 18 17:50:32 test kernel: [11567.992768] 74, L1: 1.
Dec 18 17:50:32 test kernel: [11567.992888] 75, L1: 1.
Dec 18 17:50:32 test kernel: [11567.992936] 76, L1: 1.
Dec 18 17:50:32 test kernel: [11567.992981] 77, L1: 1.
Dec 18 17:50:32 test kernel: [11567.993025] 78, L1: 1.
Dec 18 17:50:32 test kernel: [11567.993069] 79, L1: 1.
Dec 18 17:50:32 test kernel: [11567.993113] 80, L1: 1.
Dec 18 17:50:32 test kernel: [11568.020997] 81, L1: 1.
Dec 18 17:50:32 test kernel: [11568.021037] 82, L1: 1.
Dec 18 17:50:32 test kernel: [11568.055149] 83, L1: 1.
Dec 18 17:50:32 test kernel: [11568.057076] 84, L1: 1.
Dec 18 17:50:32 test kernel: [11568.083647] 85, L1: 1.
Dec 18 17:50:32 test kernel: [11568.096013] 86, L1: 1.
Dec 18 17:50:33 test kernel: [11568.254981] 87, L1: 1.
Dec 18 17:50:33 test kernel: [11568.261629] 88, L1: 1.
Dec 18 17:50:33 test kernel: [11568.272811] 89, L1: 1.
Dec 18 17:50:33 test kernel: [11568.272897] 90, L1: 1.
Dec 18 17:50:33 test kernel: [11568.272925] 91, L1: 1.
Dec 18 17:50:33 test kernel: [11568.272956] [Hermes] Exit Field [2806] -> Value [8201003b]. Reason: [1c].
Dec 18 17:50:33 test kernel: [11568.272973] 92, L1: 1.
Dec 18 17:50:33 test kernel: [11568.272975] [Hermes] Entry Field [2806] -> Value [8201003b].
