Dec 15 09:23:59 test kernel: [47876.955305] [TRACE_KVM] Buffer & to_replay created
Dec 15 09:23:59 test kernel: [47876.955337] [HAVFUZZ] Opened
Dec 15 09:24:32 test kernel: [47909.130920] [TRACE_KVM] The trarget vcpu is 3
Dec 15 09:24:32 test kernel: [47909.199262] [Trace KVM] Buffer reset
Dec 15 09:24:32 test kernel: [47909.199269] [TRACE_KVM] Buffer size changed
Dec 15 09:24:32 test kernel: [47909.199278] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 09:24:32 test kernel: [47909.199282] [TRACE_KVM] gran exit set to 0.
Dec 15 09:24:32 test kernel: [47909.199283] [TRACE_KVM] Control_execution set to 1.
Dec 15 09:24:32 test kernel: [47909.199285] [TRACE_KVM] tracing enabled
Dec 15 09:24:32 test kernel: [47909.205582] 0, L1: 1.
Dec 15 09:24:32 test kernel: [47909.249967] 1, L1: 1.
Dec 15 09:24:32 test kernel: [47909.280653] 2, L1: 1.
Dec 15 09:24:32 test kernel: [47909.340965] 3, L1: 1.
Dec 15 09:24:32 test kernel: [47909.341336] 4, L1: 1.
Dec 15 09:24:32 test kernel: [47909.341369] 5, L1: 1.
Dec 15 09:24:32 test kernel: [47909.341751] 6, L1: 1.
Dec 15 09:24:32 test kernel: [47909.367184] 7, L1: 1.
Dec 15 09:24:32 test kernel: [47909.381226] 8, L1: 1.
Dec 15 09:24:32 test kernel: [47909.385955] 9, L1: 1.
Dec 15 09:24:32 test kernel: [47909.388153] 10, L1: 1.
Dec 15 09:24:32 test kernel: [47909.408977] 11, L1: 1.
Dec 15 09:24:32 test kernel: [47909.419337] 12, L1: 1.
Dec 15 09:24:32 test kernel: [47909.429106] 13, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555321] 14, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555356] 15, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555385] 16, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555412] 17, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555439] 18, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555466] 19, L1: 1.
Dec 15 09:24:32 test kernel: [47909.555493] 20, L1: 1.
Dec 15 09:24:32 test kernel: [47909.558233] 21, L1: 1.
Dec 15 09:24:32 test kernel: [47909.558878] 22, L1: 1.
Dec 15 09:24:32 test kernel: [47909.558908] 23, L1: 1.
Dec 15 09:24:32 test kernel: [47909.558936] 24, L1: 1.
Dec 15 09:24:32 test kernel: [47909.559483] 25, L1: 1.
Dec 15 09:24:32 test kernel: [47909.588841] 26, L1: 1.
Dec 15 09:24:32 test kernel: [47909.615392] 27, L1: 1.
Dec 15 09:24:32 test kernel: [47909.664841] 28, L1: 1.
Dec 15 09:24:32 test kernel: [47909.730829] 29, L1: 1.
Dec 15 09:24:32 test kernel: [47909.731895] 30, L1: 1.
Dec 15 09:24:32 test kernel: [47909.732050] 31, L1: 1.
Dec 15 09:24:32 test kernel: [47909.732260] 32, L1: 1.
