Dec 15 12:50:01 test kernel: [60238.672114] [TRACE_KVM] Buffer & to_replay created
Dec 15 12:50:01 test kernel: [60238.672150] [HAVFUZZ] Opened
Dec 15 12:50:32 test kernel: [60269.068286] [TRACE_KVM] The trarget vcpu is 3
Dec 15 12:50:32 test kernel: [60269.137628] [Trace KVM] Buffer reset
Dec 15 12:50:32 test kernel: [60269.137634] [TRACE_KVM] Buffer size changed
Dec 15 12:50:32 test kernel: [60269.137641] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 12:50:32 test kernel: [60269.137643] [TRACE_KVM] gran exit set to 0.
Dec 15 12:50:32 test kernel: [60269.137644] [TRACE_KVM] Control_execution set to 1.
Dec 15 12:50:32 test kernel: [60269.137646] [TRACE_KVM] tracing enabled
Dec 15 12:50:32 test kernel: [60269.173065] 0, L1: 1.
Dec 15 12:50:32 test kernel: [60269.201604] 1, L1: 1.
Dec 15 12:50:32 test kernel: [60269.245008] 2, L1: 1.
Dec 15 12:50:32 test kernel: [60269.247399] 3, L1: 1.
Dec 15 12:50:32 test kernel: [60269.248388] 4, L1: 1.
Dec 15 12:50:32 test kernel: [60269.251069] 5, L1: 1.
Dec 15 12:50:32 test kernel: [60269.251833] 6, L1: 1.
Dec 15 12:50:32 test kernel: [60269.268850] 7, L1: 1.
Dec 15 12:50:32 test kernel: [60269.300654] 8, L1: 1.
Dec 15 12:50:32 test kernel: [60269.303982] 9, L1: 1.
Dec 15 12:50:32 test kernel: [60269.305159] 10, L1: 1.
Dec 15 12:50:32 test kernel: [60269.317842] 11, L1: 1.
Dec 15 12:50:32 test kernel: [60269.505380] 12, L1: 1.
Dec 15 12:50:32 test kernel: [60269.573056] 13, L1: 1.
Dec 15 12:50:32 test kernel: [60269.593230] 14, L1: 1.
Dec 15 12:50:32 test kernel: [60269.593397] 15, L1: 1.
Dec 15 12:50:32 test kernel: [60269.593498] 16, L1: 1.
Dec 15 12:50:32 test kernel: [60269.632957] 17, L1: 1.
Dec 15 12:50:32 test kernel: [60269.633260] 18, L1: 1.
Dec 15 12:50:32 test kernel: [60269.679472] 19, L1: 1.
Dec 15 12:50:32 test kernel: [60269.679743] 20, L1: 1.
Dec 15 12:50:32 test kernel: [60269.688434] 21, L1: 1.
Dec 15 12:50:32 test kernel: [60269.717182] 22, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741044] 23, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741079] 24, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741108] 25, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741134] 26, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741159] 27, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741183] 28, L1: 1.
Dec 15 12:50:32 test kernel: [60269.741207] 29, L1: 1.
Dec 15 12:50:32 test kernel: [60269.762799] 30, L1: 1.
Dec 15 12:50:32 test kernel: [60269.762839] 31, L1: 1.
Dec 15 12:50:32 test kernel: [60269.762867] 32, L1: 1.
Dec 15 12:50:32 test kernel: [60269.763192] 33, L1: 1.
Dec 15 12:50:32 test kernel: [60269.763241] 34, L1: 1.
