Dec 18 17:51:54 test kernel: [11649.555121] [TRACE_KVM] Buffer & to_replay created
Dec 18 17:51:54 test kernel: [11649.555157] [HAVFUZZ] Opened
Dec 18 17:52:26 test kernel: [11681.809196] [TRACE_KVM] The trarget vcpu is 3
Dec 18 17:52:26 test kernel: [11681.892718] [Trace KVM] Buffer reset
Dec 18 17:52:26 test kernel: [11681.892724] [TRACE_KVM] Buffer size changed
Dec 18 17:52:26 test kernel: [11681.892732] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 17:52:26 test kernel: [11681.892735] [TRACE_KVM] gran exit set to 0.
Dec 18 17:52:26 test kernel: [11681.892737] [TRACE_KVM] Control_execution set to 1.
Dec 18 17:52:26 test kernel: [11681.892739] [TRACE_KVM] tracing enabled
Dec 18 17:52:26 test kernel: [11681.916617] 0, L1: 1.
Dec 18 17:52:26 test kernel: [11681.923243] 1, L1: 1.
Dec 18 17:52:26 test kernel: [11681.923518] 2, L1: 1.
Dec 18 17:52:26 test kernel: [11681.929693] 3, L1: 1.
Dec 18 17:52:26 test kernel: [11681.939779] 4, L1: 1.
Dec 18 17:52:26 test kernel: [11681.956457] 5, L1: 1.
Dec 18 17:52:26 test kernel: [11681.959544] 6, L1: 1.
Dec 18 17:52:26 test kernel: [11681.987682] 7, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109172] 8, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109213] 9, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109242] 10, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109266] 11, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109292] 12, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109316] 13, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109340] 14, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109570] 15, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109598] 16, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109624] 17, L1: 1.
Dec 18 17:52:26 test kernel: [11682.109805] 18, L1: 1.
Dec 18 17:52:26 test kernel: [11682.156611] 19, L1: 1.
Dec 18 17:52:26 test kernel: [11682.184615] 20, L1: 1.
Dec 18 17:52:27 test kernel: [11682.237468] 21, L1: 1.
Dec 18 17:52:27 test kernel: [11682.284839] 22, L1: 1.
Dec 18 17:52:27 test kernel: [11682.309277] 23, L1: 1.
Dec 18 17:52:27 test kernel: [11682.370110] 24, L1: 1.
Dec 18 17:52:27 test kernel: [11682.374185] 25, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385523] 26, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385556] 27, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385582] 28, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385609] 29, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385633] 30, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385657] 31, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385682] 32, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385913] 33, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385940] 34, L1: 1.
Dec 18 17:52:27 test kernel: [11682.385966] 35, L1: 1.
Dec 18 17:52:27 test kernel: [11682.386188] 36, L1: 1.
Dec 18 17:52:27 test kernel: [11682.389963] 37, L1: 1.
Dec 18 17:52:27 test kernel: [11682.419704] 38, L1: 1.
Dec 18 17:52:27 test kernel: [11682.482718] 39, L1: 1.
Dec 18 17:52:27 test kernel: [11682.516622] 40, L1: 1.
Dec 18 17:52:27 test kernel: [11682.604605] 41, L1: 1.
Dec 18 17:52:27 test kernel: [11682.642720] 42, L1: 1.
Dec 18 17:52:27 test kernel: [11682.650712] 43, L1: 1.
Dec 18 17:52:27 test kernel: [11682.658717] 44, L1: 1.
Dec 18 17:52:27 test kernel: [11682.666716] 45, L1: 1.
Dec 18 17:52:27 test kernel: [11682.670707] 46, L1: 1.
Dec 18 17:52:27 test kernel: [11682.692605] 47, L1: 1.
Dec 18 17:52:27 test kernel: [11682.716712] 48, L1: 1.
Dec 18 17:52:27 test kernel: [11682.729676] 49, L1: 1.
Dec 18 17:52:27 test kernel: [11682.735816] 50, L1: 1.
