Dec 15 09:04:25 test kernel: [46702.792486] [TRACE_KVM] Buffer & to_replay created
Dec 15 09:04:25 test kernel: [46702.792521] [HAVFUZZ] Opened
Dec 15 09:04:57 test kernel: [46734.394899] [TRACE_KVM] The trarget vcpu is 3
Dec 15 09:04:57 test kernel: [46734.463454] [Trace KVM] Buffer reset
Dec 15 09:04:57 test kernel: [46734.463460] [TRACE_KVM] Buffer size changed
Dec 15 09:04:57 test kernel: [46734.463468] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 09:04:57 test kernel: [46734.463470] [TRACE_KVM] gran exit set to 0.
Dec 15 09:04:57 test kernel: [46734.463472] [TRACE_KVM] Control_execution set to 1.
Dec 15 09:04:57 test kernel: [46734.463474] [TRACE_KVM] tracing enabled
Dec 15 09:04:57 test kernel: [46734.480923] 0, L1: 1.
Dec 15 09:04:57 test kernel: [46734.481639] 1, L1: 1.
Dec 15 09:04:57 test kernel: [46734.481683] 2, L1: 1.
Dec 15 09:04:57 test kernel: [46734.481797] 3, L1: 1.
Dec 15 09:04:57 test kernel: [46734.489882] 4, L1: 1.
Dec 15 09:04:57 test kernel: [46734.490204] 5, L1: 1.
Dec 15 09:04:57 test kernel: [46734.490235] 6, L1: 1.
Dec 15 09:04:57 test kernel: [46734.490263] 7, L1: 1.
Dec 15 09:04:57 test kernel: [46734.490749] 8, L1: 1.
Dec 15 09:04:57 test kernel: [46734.490893] 9, L1: 1.
Dec 15 09:04:57 test kernel: [46734.490952] 10, L1: 1.
Dec 15 09:04:57 test kernel: [46734.491309] 11, L1: 1.
Dec 15 09:04:57 test kernel: [46734.532859] 12, L1: 1.
Dec 15 09:04:57 test kernel: [46734.578022] 13, L1: 1.
Dec 15 09:04:57 test kernel: [46734.594021] 14, L1: 1.
Dec 15 09:04:57 test kernel: [46734.626525] 15, L1: 1.
Dec 15 09:04:57 test kernel: [46734.698630] 16, L1: 1.
Dec 15 09:04:57 test kernel: [46734.708846] 17, L1: 1.
Dec 15 09:04:57 test kernel: [46734.737702] 18, L1: 1.
Dec 15 09:04:57 test kernel: [46734.738132] 19, L1: 1.
Dec 15 09:04:57 test kernel: [46734.765902] 20, L1: 1.
Dec 15 09:04:57 test kernel: [46734.786149] 21, L1: 1.
Dec 15 09:04:57 test kernel: [46734.820841] 22, L1: 1.
Dec 15 09:04:57 test kernel: [46734.874540] 23, L1: 1.
Dec 15 09:04:57 test kernel: [46734.909070] 24, L1: 1.
Dec 15 09:04:58 test kernel: [46735.021956] 25, L1: 1.
Dec 15 09:04:58 test kernel: [46735.022502] 26, L1: 1.
Dec 15 09:04:58 test kernel: [46735.022604] 27, L1: 1.
Dec 15 09:04:58 test kernel: [46735.037240] 28, L1: 1.
Dec 15 09:04:58 test kernel: [46735.039459] 29, L1: 1.
Dec 15 09:04:58 test kernel: [46735.040193] 30, L1: 1.
Dec 15 09:04:58 test kernel: [46735.041639] 31, L1: 1.
Dec 15 09:04:58 test kernel: [46735.046514] 32, L1: 1.
Dec 15 09:04:58 test kernel: [46735.274615] 33, L1: 1.
Dec 15 09:04:58 test kernel: [46735.275246] 34, L1: 1.
Dec 15 09:04:58 test kernel: [46735.277208] 35, L1: 1.
Dec 15 09:04:58 test kernel: [46735.278066] 36, L1: 1.
Dec 15 09:04:58 test kernel: [46735.297105] 37, L1: 1.
Dec 15 09:04:58 test kernel: [46735.298505] 38, L1: 1.
Dec 15 09:04:58 test kernel: [46735.309493] 39, L1: 1.
Dec 15 09:04:58 test kernel: [46735.313458] 40, L1: 1.
Dec 15 09:04:58 test kernel: [46735.336947] 41, L1: 1.
Dec 15 09:04:58 test kernel: [46735.348840] 42, L1: 1.
Dec 15 09:04:58 test kernel: [46735.363111] 43, L1: 1.
Dec 15 09:04:58 test kernel: [46735.365920] 44, L1: 1.
Dec 15 09:04:58 test kernel: [46735.365952] 45, L1: 1.
Dec 15 09:04:58 test kernel: [46735.365979] 46, L1: 1.
Dec 15 09:04:58 test kernel: [46735.366004] 47, L1: 1.
Dec 15 09:04:58 test kernel: [46735.366028] 48, L1: 1.
Dec 15 09:04:58 test kernel: [46735.366052] 49, L1: 1.
Dec 15 09:04:58 test kernel: [46735.366078] 50, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369186] 51, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369218] 52, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369245] 53, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369382] 54, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369412] 55, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369437] 56, L1: 1.
Dec 15 09:04:58 test kernel: [46735.369604] 57, L1: 1.
Dec 15 09:04:58 test kernel: [46735.377438] 58, L1: 1.
Dec 15 09:04:58 test kernel: [46735.377791] 59, L1: 1.
